Variable,Scale,Type
Sowing_Seeds_Number,Continuous,M
Seeds_Per_Site,Continuous,M
Plant_Density_20_days,Continuous,M
Chemical_Treat_Disease,Discrete,M
Chemical_Treat_Weeds,Discrete,M
Chemical_Treat_Pests,Discrete,M
Total_N,Continuous,M
Total_P,Continuous,M
Total_K,Continuous,M
Number_Chemical_Ferti,Discrete,M
pH,Discrete,S
Efective_Depth,Discrete,S
TM_Avg_VEG,Continuous,W
TA_Avg_VEG,Continuous,W
DR_Avg_VEG,Continuous,W
SR_Accu_VEG,Continuous,W
P_10_Freq_VEG,Continuous,W
TA_Avg_CF,Continuous,W
SR_Accu_CF,Continuous,W
P_Accu_CF,Continuous,W
RH_Avg_CF,Continuous,W
SR_Accu_MAT,Continuous,W
P_10_Freq_MAT,Continuous,W
RH_Avg_MAT,Continuous,W
Sowing_Method,Category,M
Seeds_Treatment,Category,M
Cultivar,Category,M
Former_Crop,Category,S
Field_Drainage,Category,S
Harvest_Method,Category,M
Cultivar_Type,Category,M
Soil_Structure,Category,S
Runoff,Category,S
Soil_Texture,Category,S
Organic_Matter_Content,Category,S
Yield,Continuous,O
